ticker,yf_ticker,company_name,sasb_sector,truvalue_rating,sa_risk,sa_band,iss_descriptor,tri_pass_votes,tri_fail_votes,triangulation_result,stage1_pass,fossil_flag,hard_excluded,watchlist,watchlist_reason,esg_rank,in_house_z,in_house_pct,E_score,S_score,G_score,ESG_score,carbon_intensity,ci_source,data_vintage,idBbGlobalCompanyName,sector,vol_annual,max_drawdown,sharpe_ratio,beta,beta_band_score,m01_score,m02_score,m03_score,m04_score,composite_financial_score,metric_nan_count,m01_vol_flag,m02_mdd_flag,m03_sharpe_flag,m04_beta_flag,g1_data_sufficiency,g2_margins,g3_cashflow,g4_leverage,g5_investability,gate_verdict,financial_verdict,exclusion_reason,annual_volatility_pct,max_drawdown_pct,beta_vs_benchmark,data_vintage_fin,rf_rate_assumption,benchmark_used,encore_score,aqueduct_score,biodiversity_score,nature_risk_tier,taxonomy_eligible_pct,taxonomy_aligned_pct,euTaxnmyEstmatdDnshMitgtnLevl1,euTaxnmyEstmatdDnshMitgtnLevl2,euTaxnmyEstmatdDnshAdapttnLevl1,euTaxnmyEstmatdDnshAdapttnLevl2,gw_exclude,gw_watchlist,fin_score,composite_score,rank,weight_raw,weight
3ZV,BFT.WA,Benefit Systems,Services,Average,13.32,Low,Medium,3,0,PASS,True,False,False,False,,74.0,0.1968498366765832,69.19831223628692,78.15,81.8,19.42,69.2,19.57,sector_median_imputed,2026-05-20,Benefit Systems SA,Industrials,0.3806,-0.5323,0.8,0.6637,100.0,14.937759336099589,79.25311203319502,89.62655601659752,100.0,73.65,0.0,soft_flag,soft_flag,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,38.06,-53.23,0.6637,2026-05-20,0.025,^STOXX,2.5,2.5,37.5,Medium,,,77.78,,14.29,,False,False,73.65,71.87,11,0.033401962196805274,0.0334
A5G,A5G.IR,AIB Group plc,Financials,Below Average,13.17,Low,Medium,2,1,PASS,True,False,False,True,Truvalue=Below Average,6.0,0.5257474586788465,97.8902953586498,78.15,62.62,73.53,97.89,0.72,sector_median_imputed,2026-05-20,AIB Group PLC,Financials,0.3373,-0.3372,0.8541,1.1824,50.0,32.365145228215766,33.40248962655602,92.9460580912863,50.0,54.38,0.0,ok,ok,ok,elevated,PASS,PASS,PASS,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,33.73,-33.72,1.1824,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,77.78,,85.71,,False,False,54.38,71.78,12,0.03336013422132576,0.0334
BIRG,BIRG.IR,Bank of Ireland Group Plc,Financials,Average,15.9,Low,Medium,3,0,PASS,True,False,False,False,,14.0,0.4618400197432473,94.51476793248943,78.15,61.2,65.96,94.51,0.72,sector_median_imputed,2026-05-20,Bank of Ireland Group PLC,Financials,,,,,,,,,,,,,,,,PASS,PASS,FAIL,DATA-INCOMPLETE,PASS,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,77.78,,57.14,,False,False,55.66,71.2,13,0.03309057615712447,0.0331
2D7,BEZ.L,Beazley Plc,Financials,Average,17.0,Low,Medium,3,0,PASS,True,False,False,False,,27.0,0.3827171882012781,89.0295358649789,78.15,36.62,69.63,89.03,0.72,sector_median_imputed,2026-05-20,Beazley PLC,Financials,0.3272,-0.2682,0.8174,0.6913,100.0,35.684647302904565,16.182572614107883,90.45643153526972,100.0,59.13,0.0,ok,ok,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,32.72,-26.82,0.6913,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,66.67,,85.71,,False,False,59.13,71.09,14,0.03303945307598284,0.033
ENXB,ENX.PA,Euronext NV,Financials,Average,13.1,Low,Medium,3,0,PASS,True,False,False,False,,50.0,0.2692684195295406,79.32489451476793,78.15,31.53,57.65,79.32,0.72,sector_median_imputed,2026-05-20,Euronext NV,Financials,0.2099,-0.4009,0.4935,0.5931,75.0,87.96680497925311,53.52697095435685,56.43153526970954,75.0,65.58,0.0,ok,ok,ok,defensive,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,20.99,-40.09,0.5931,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,0.0,66.67,,42.86,,False,False,65.58,71.08,15,0.03303480552315178,0.033
SLW,SLHN.SW,Swiss Life Holding AG,Financials,Above Average,14.66,Low,Medium,3,0,PASS,True,False,False,False,,67.0,0.2303636468671725,72.15189873417721,78.15,51.31,41.24,72.15,0.72,sector_median_imputed,2026-05-20,Swiss Life Holding AG,Financials,0.1956,-0.2865,0.7441,0.9045,100.0,92.9460580912863,20.33195020746888,85.47717842323651,100.0,70.33,0.0,ok,ok,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,19.56,-28.65,0.9045,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,0.0,,66.67,25.0,42.86,40.0,False,False,70.33,71.06,16,0.03302551041748967,0.033
GU81,AV.L,Aviva plc,Financials,Average,13.69,Low,Medium,3,0,PASS,True,False,False,False,,15.0,0.4527930622231097,94.09282700421942,78.15,57.53,66.87,94.09,0.72,sector_median_imputed,2026-05-20,Aviva PLC,Financials,,,,,,,,,,,,,,,,PASS,PASS,FAIL,PASS,PASS,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,77.78,,85.71,,False,False,55.66,71.03,17,0.0330115677589965,0.033
AA9,ALFA.ST,Alfa Laval AB,Resource Transformation,Average,24.2,Medium,Good,2,1,PASS,True,False,False,False,,2.0,0.648460087753851,99.57805907172995,93.01,65.53,60.78,99.58,19.57,sector_median_imputed,2026-05-20,Alfa Laval AB,Industrials,0.2631,-0.3826,0.4315,1.1025,50.0,65.56016597510373,46.47302904564315,48.54771784232365,50.0,51.62,0.0,ok,ok,ok,elevated,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,26.31,-38.26,1.1025,2026-05-20,0.025,^STOXX,2.5,2.5,37.5,Medium,0.0,,66.67,,42.86,40.0,False,False,51.62,70.8,18,0.03290467404388219,0.0329
ASG,G.MI,Assicurazioni Generali S.p.A.,Financials,Average,14.21,Low,Good,3,0,PASS,True,False,False,False,,87.0,0.1116021379678658,63.71308016877637,78.15,57.53,22.11,63.71,0.72,sector_median_imputed,2026-05-20,Assicurazioni Generali SpA,Financials,0.1934,-0.3077,1.0066,0.8575,100.0,93.3609958506224,24.89626556016597,97.5103734439834,100.0,75.39,0.0,ok,ok,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,19.34,-30.77,0.8575,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,55.56,,100.0,,False,False,75.39,70.72,19,0.032867493621233736,0.0329
ALV,ALV.DE,Allianz SE,Financials,Average,13.2,Low,Medium,3,0,PASS,True,False,False,False,,62.0,0.2440579759027272,74.26160337552743,78.15,57.81,39.33,74.26,0.72,sector_median_imputed,2026-05-20,Allianz SE,Financials,0.1968,-0.2752,0.6982,0.942,100.0,92.5311203319502,18.257261410788388,80.08298755186722,100.0,68.01,0.0,ok,ok,ok,target_band,PASS,PASS,DATA-INCOMPLETE,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,19.68,-27.52,0.942,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,77.78,,85.71,,False,False,68.01,70.51,20,0.03276989501178155,0.0328
TBCG,TBCG.L,TBC Bank Group Plc,Financials,Average,12.8,Low,Medium,3,0,PASS,True,False,False,False,,19.0,0.4277029079410485,92.40506329113924,78.15,73.92,54.21,92.41,0.72,sector_median_imputed,2026-05-20,TBC Bank Group PLC,Financials,,,,,,,,,,,,,,,,PASS,FAIL,DATA-INCOMPLETE,DATA-INCOMPLETE,PASS,GATE_FAIL,EXCLUDED_GATE,G2:negative_margins,,,,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,66.67,,71.43,,False,False,55.66,70.36,21,0.03270018171931569,0.0327
RAW,RBI.VI,Raiffeisen Bank International AG,Financials,Average,17.1,Low,Medium,3,0,PASS,True,False,False,False,,1.0,0.7890705684910246,100.0,78.15,76.75,100.0,100.0,0.72,sector_median_imputed,2026-05-20,Raiffeisen Bank International AG,Financials,0.3921,-0.6165,0.539,1.5012,0.0,11.203319502074692,92.9460580912863,63.07053941908713,0.0,49.05,0.0,soft_flag,soft_flag,ok,aggressive,PASS,PASS,PASS,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,39.21,-61.65,1.5012,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,66.67,,14.29,,False,False,49.05,69.43,22,0.03226795930602741,0.0323
CRIN,UCG.MI,UniCredit S.p.A.,Financials,Average,10.6,Low,Medium,3,0,PASS,True,False,False,False,,23.0,0.4149168212186035,90.71729957805908,78.15,65.37,57.42,90.72,0.72,sector_median_imputed,2026-05-20,UniCredit SpA,Financials,0.3581,-0.4639,1.1467,1.5164,0.0,21.576763485477173,69.70954356846474,99.5850622406639,0.0,55.1,0.0,soft_flag,soft_flag,ok,aggressive,PASS,PASS,DATA-INCOMPLETE,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,35.81,-46.39,1.5164,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,77.78,,100.0,,False,False,55.1,69.35,23,0.032230778883378955,0.0322
EOAN,EOAN.DE,E.ON SE,Infrastructure,Average,17.1,Low,Good,3,0,PASS,True,False,False,False,,65.0,0.2372109067531796,72.9957805907173,52.98,84.67,69.14,73.0,629.82,sector_median_imputed,2026-05-20,E.ON SE,Utilities,0.215,-0.3702,0.6133,0.5788,75.0,85.47717842323651,42.94605809128631,72.61410788381743,75.0,66.76,0.0,ok,ok,ok,defensive,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,21.5,-37.02,0.5788,2026-05-20,0.025,^STOXX,3.5,4.0,67.5,High,16.07,18.0,88.89,100.0,57.14,60.0,False,False,66.76,69.26,24,0.032188950907899444,0.0322
SU1N,SPSN.SW,Swiss Prime Site AG,Infrastructure,Above Average,11.7,Low,Medium,3,0,PASS,True,False,False,False,,35.0,0.331561509744561,85.65400843881856,56.64,94.6,69.14,85.65,16.72,sector_median_imputed,2026-05-20,Swiss Prime Site AG,Real Estate,0.1563,-0.2504,0.5574,0.4122,75.0,98.7551867219917,11.203319502074692,65.97510373443983,75.0,57.9,0.0,ok,ok,ok,defensive,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,15.63,-25.04,0.4122,2026-05-20,0.025,^STOXX,2.8,2.0,37.0,Medium,0.0,,77.78,33.33,57.14,60.0,False,False,57.9,69.0,25,0.03206811453429197,0.0321
04Q,NDA-FI.HE,Nordea Bank Abp,Financials,Below Average,13.14,Low,Good,2,1,PASS,True,False,False,True,Truvalue=Below Average,28.0,0.3759485406335493,88.60759493670885,78.15,56.96,57.11,88.61,0.72,sector_median_imputed,2026-05-20,Nordea Bank Abp,Financials,,,,,,,,,,,,,,,,PASS,PASS,FAIL,DATA-INCOMPLETE,PASS,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,77.78,,71.43,,False,False,55.66,68.84,26,0.03199375368899506,0.032
ABJ,ABBN.SW,ABB Ltd.,Resource Transformation,Average,17.8,Low,Good,3,0,PASS,True,False,False,False,,34.0,0.333300151299424,86.07594936708861,60.57,93.88,62.6,86.08,19.57,sector_median_imputed,2026-05-20,ABB Ltd,Industrials,0.2481,-0.283,0.8279,1.2496,50.0,71.36929460580913,19.087136929460584,90.8713692946058,50.0,57.26,0.0,ok,ok,ok,elevated,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,24.81,-28.3,1.2496,2026-05-20,0.025,^STOXX,2.5,2.5,37.5,Medium,0.0,,66.67,,42.86,40.0,False,False,57.26,68.79,27,0.03197051592483978,0.032
IYYA,INVP.L,Investec plc,Financials,Average,15.3,Low,Medium,3,0,PASS,True,False,False,False,,29.0,0.360897884306383,88.18565400843882,78.15,55.13,56.19,88.19,0.72,sector_median_imputed,2026-05-20,Investec Ltd,Financials,,,,,,,,,,,,,,,,PASS,PASS,FAIL,DATA-INCOMPLETE,PASS,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,55.56,,71.43,,False,False,55.66,68.67,28,0.031914745290867096,0.0319
6GF,ING.WA,ING Bank Slaski S.A.,Financials,Below Average,15.39,Low,Medium,2,1,PASS,True,False,False,True,Truvalue=Below Average,30.0,0.3446197214013231,87.76371308016878,78.15,76.11,42.06,87.76,0.72,sector_median_imputed,2026-05-20,ING Bank Slaski SA,Financials,,,,,,,,,,,,,,,,PASS,PASS,FAIL,DATA-INCOMPLETE,PASS,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,55.56,,14.29,,False,False,55.66,68.5,29,0.03183573689273913,0.0318
H11,HLMA.L,Halma plc,Resource Transformation,Average,12.9,Low,Medium,3,0,PASS,True,False,False,False,,57.0,0.2571782936955831,76.37130801687763,61.28,78.67,60.01,76.37,19.57,sector_median_imputed,2026-05-20,Halma PLC,Industrials,0.2569,-0.4369,0.3395,1.0689,100.0,68.04979253112033,63.48547717842324,33.19502074688796,100.0,62.61,0.0,ok,ok,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,25.69,-43.69,1.0689,2026-05-20,0.025,^STOXX,2.5,2.5,37.5,Medium,0.0,,66.67,,100.0,,False,False,62.61,68.11,30,0.03165448233232791,0.0317
