ticker,yf_ticker,company_name,sasb_sector,truvalue_rating,sa_risk,sa_band,iss_descriptor,tri_pass_votes,tri_fail_votes,triangulation_result,stage1_pass,fossil_flag,hard_excluded,watchlist,watchlist_reason,esg_rank,in_house_z,in_house_pct,E_score,S_score,G_score,ESG_score,carbon_intensity,ci_source,data_vintage,idBbGlobalCompanyName,sector,vol_annual,max_drawdown,sharpe_ratio,beta,beta_band_score,m01_score,m02_score,m03_score,m04_score,composite_financial_score,metric_nan_count,m01_vol_flag,m02_mdd_flag,m03_sharpe_flag,m04_beta_flag,g1_data_sufficiency,g2_margins,g3_cashflow,g4_leverage,g5_investability,gate_verdict,financial_verdict,exclusion_reason,annual_volatility_pct,max_drawdown_pct,beta_vs_benchmark,data_vintage_fin,rf_rate_assumption,benchmark_used,encore_score,aqueduct_score,biodiversity_score,nature_risk_tier,taxonomy_eligible_pct,taxonomy_aligned_pct,euTaxnmyEstmatdDnshMitgtnLevl1,euTaxnmyEstmatdDnshMitgtnLevl2,euTaxnmyEstmatdDnshAdapttnLevl1,euTaxnmyEstmatdDnshAdapttnLevl2,gw_exclude,gw_watchlist
ZEG,AZN.L,AstraZeneca PLC,Health Care,Average,18.04,Low,Good,3,0,PASS,True,False,False,False,,58.0,0.2516423327921353,75.9493670886076,56.5,78.58,68.08,75.95,7.99,sector_median_imputed,2026-05-20,AstraZeneca PLC,Health Care,0.2384,-0.2717,0.3455,0.6464,100.0,76.34854771784232,17.01244813278008,34.439834024896264,100.0,50.71,0.0,ok,ok,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,23.84,-27.17,0.6464,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,77.78,,57.14,,False,False
AEU,PRY.MI,Prysmian,Resource Transformation,Leader,13.8,Low,Good,3,0,PASS,True,False,False,False,,171.0,-0.5218808737074067,24.47257383966245,36.04,40.44,25.85,24.47,19.57,sector_median_imputed,2026-05-20,Prysmian SpA,Industrials,0.3238,-0.4354,0.9698,1.3951,25.0,36.51452282157677,63.07053941908713,96.6804979253112,25.0,60.23,0.0,ok,ok,ok,elevated_high,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,32.38,-43.54,1.3951,2026-05-20,0.025,^STOXX,2.5,2.5,37.5,Medium,0.0,,66.67,,85.71,,False,False
2FE,RACE.MI,Ferrari,Transportation,Above Average,17.5,Low,Good,3,0,PASS,True,False,False,False,,152.0,-0.3440225744438782,33.33333333333333,28.35,80.24,40.51,33.33,0.0,bloomberg_calc,2026-05-20,Ferrari NV,Consumer Discretionary,0.2791,-0.4344,0.3095,1.0708,100.0,58.50622406639004,62.65560165975104,29.460580912863072,100.0,59.34,0.0,ok,ok,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,27.91,-43.44,1.0708,2026-05-20,0.025,^STOXX,2.0,2.0,25.0,Low,0.0,,66.67,,42.86,40.0,False,False
NGLB,AAL.L,Anglo American,Extractives & Minerals Processing,Above Average,28.4,High,Good,2,1,PASS,False,True,False,,,,,,0.0,0.0,0.0,0.0,2149.74,sector_median_imputed,2026-05-20,Anglo American PLC,Materials,0.4016,-0.5991,0.0345,1.4011,0.0,9.128630705394189,90.24896265560166,13.692946058091287,0.0,33.01,0.0,soft_flag,soft_flag,soft_flag,aggressive,PASS,SOFT_FLAG,PASS,PASS,PASS,GATE_PASS,PASSED,,40.16,-59.91,1.4011,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,66.67,,71.43,,False,False
1JJA,AZA.ST,Avanza Bank Holding AB,Financials,Below Average,23.27,Medium,Medium,1,2,FAIL,False,False,False,,,,,,0.0,0.0,0.0,0.0,0.72,sector_median_imputed,2026-05-20,Avanza Bank Holding AB,Financials,0.3748,-0.5689,0.1624,1.3703,25.0,15.352697095435689,85.47717842323651,18.25726141078838,25.0,39.19,0.0,soft_flag,soft_flag,soft_flag,elevated_high,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,37.48,-56.89,1.3703,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,44.44,,57.14,,False,False
HGUA,HUBN.SW,Huber+Suhner,Resource Transformation,Above Average,15.6,Low,Good,3,0,PASS,True,False,False,False,,186.0,-0.6846236173742013,18.35443037974684,6.47,33.46,62.6,18.35,19.57,sector_median_imputed,2026-05-20,Huber + Suhner AG,Industrials,0.2779,-0.3211,0.9347,0.9029,100.0,58.92116182572615,28.63070539419087,95.0207468879668,100.0,68.88,0.0,ok,ok,ok,target_band,PASS,PASS,PASS,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,27.79,-32.11,0.9029,2026-05-20,0.025,^STOXX,2.5,2.5,37.5,Medium,0.0,,66.67,,28.57,40.0,False,False
GU81,AV.L,Aviva plc,Financials,Average,13.69,Low,Medium,3,0,PASS,True,False,False,False,,15.0,0.4527930622231097,94.09282700421942,78.15,57.53,66.87,94.09,0.72,sector_median_imputed,2026-05-20,Aviva PLC,Financials,,,,,,,,,,,,,,,,PASS,PASS,FAIL,PASS,PASS,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,77.78,,85.71,,False,False
NKT,NKT.CO,NKT,Resource Transformation,Above Average,14.5,Low,Good,3,0,PASS,True,False,False,False,,158.0,-0.3757280389550171,30.80168776371308,40.54,67.5,21.31,30.8,19.57,sector_median_imputed,2026-05-20,NKT A/S,Industrials,0.3592,-0.3439,0.7123,1.1382,50.0,21.161825726141075,36.09958506224067,81.74273858921161,50.0,49.59,0.0,soft_flag,ok,ok,elevated,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,35.92,-34.39,1.1382,2026-05-20,0.025,^STOXX,2.5,2.5,37.5,Medium,0.0,40.0,88.89,,14.29,20.0,False,False
DJDA,DIE.BR,D'Ieteren,Services,Above Average,13.2,Low,Good,3,0,PASS,True,False,False,False,,181.0,-0.6456354306427077,20.25316455696203,31.81,57.62,7.53,20.25,0.0,sector_median_imputed,2026-05-20,D'ieteren Group,Consumer Discretionary,,,,,,,,,,,,,,,,PASS,PASS,PASS,FAIL,PASS,GATE_FAIL,EXCLUDED_GATE,G4:excess_leverage,,,,2026-05-20,0.025,^STOXX,2.0,2.0,25.0,Low,0.0,,66.67,,71.43,80.0,False,False
OEWA,VER.VI,VERBUND,Infrastructure,Leader,18.7,Low,Excellent,3,0,PASS,True,False,False,False,,157.0,-0.372755253000339,31.22362869198312,40.08,64.06,24.51,31.22,629.82,sector_median_imputed,2026-05-20,Verbund AG,Utilities,0.3217,-0.4233,-0.0601,0.5417,75.0,38.58921161825726,60.99585062240664,10.78838174273859,75.0,44.25,0.0,ok,ok,hard_exclude,defensive,PASS,PASS,PASS,PASS,PASS,GATE_PASS,EXCLUDED_METRIC,M03:sharpe<0,32.17,-42.33,0.5417,2026-05-20,0.025,^STOXX,3.5,4.0,67.5,High,19.24,,77.78,100.0,71.43,60.0,False,False
HDB,AZM.MI,Azimut Holding Spa,Financials,Above Average,20.12,Medium,Medium,2,1,PASS,True,False,False,False,,218.0,-1.000210191632489,2.953586497890296,6.47,56.44,8.07,2.95,0.72,sector_median_imputed,2026-05-20,Azimut Holding SpA,Financials,0.2724,-0.4464,0.5203,1.3525,25.0,62.03319502074689,65.14522821576764,59.33609958506224,25.0,54.75,0.0,ok,ok,ok,elevated_high,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,27.24,-44.64,1.3525,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,22.22,,28.57,,False,False
7LB,LOTB.BR,Lotus Bakeries,Food & Beverage,Above Average,19.3,Low,Good,3,0,PASS,True,False,False,False,,211.0,-0.9346877163115028,5.907172995780591,6.47,60.36,14.42,5.91,85.39,sector_median_imputed,2026-05-20,Lotus Bakeries NV,Consumer Staples,0.2697,-0.4171,0.5447,0.5404,75.0,63.90041493775934,58.713692946058096,63.90041493775933,75.0,64.56,0.0,ok,ok,ok,defensive,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,26.97,-41.71,0.5404,2026-05-20,0.025,^STOXX,3.0,3.0,50.0,Medium,,0.0,33.33,,14.29,,False,False
HF6,FRO.OL,Frontline,Transportation,Average,22.4,Medium,Medium,2,1,PASS,False,True,False,,,,,,0.0,0.0,0.0,0.0,19.57,sector_median_imputed,2026-05-20,Frontline PLC,Industrials,0.458,-0.561,0.675,0.4289,75.0,3.319502074688799,85.06224066390041,77.17842323651453,75.0,64.34,0.0,soft_flag,soft_flag,ok,defensive,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,45.8,-56.1,0.4289,2026-05-20,0.025,^STOXX,2.5,2.5,37.5,Medium,,,77.78,,42.86,,False,False
RWE,RWE.DE,RWE,Infrastructure,Leader,24.5,Medium,Good,2,1,PASS,True,False,False,False,,140.0,-0.2584685681625059,38.81856540084388,52.15,34.96,34.05,38.82,629.82,sector_median_imputed,2026-05-20,RWE AG,Utilities,,,,,,,,,,,,,,,,PASS,FAIL,PASS,PASS,PASS,GATE_FAIL,EXCLUDED_GATE,G2:negative_margins,,,,2026-05-20,0.025,^STOXX,3.5,4.0,67.5,High,13.09,,66.67,,57.14,40.0,False,False
ARC,AKRBP.OL,Aker BP,Extractives & Minerals Processing,Above Average,31.2,High,Good,2,1,PASS,False,True,False,,,,,,0.0,0.0,0.0,0.0,277.65500000000003,sector_median_imputed,2026-05-20,Aker BP ASA,Energy,0.345,-0.3899,0.4107,0.3087,,27.800829875518676,48.96265560165976,44.81327800829876,,48.69,1.0,ok,ok,ok,soft_flag_review,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,34.5,-38.99,0.3087,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,77.78,,85.71,,False,False
B7A,BGN.MI,Banca Generali S.p.A.,Financials,Average,9.51,Negligible,Medium,3,0,PASS,True,False,False,False,,80.0,0.1635771457894211,66.66666666666666,78.15,53.66,31.14,66.67,0.72,sector_median_imputed,2026-05-20,Banca Generali SpA,Financials,0.2585,-0.3731,0.565,1.2069,50.0,66.80497925311204,43.56846473029046,66.80497925311202,50.0,56.47,0.0,ok,ok,ok,elevated,PASS,PASS,DATA-INCOMPLETE,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,25.85,-37.31,1.2069,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,77.78,,42.86,,False,False
ME1,BMED.MI,Banca Mediolanum SpA,Financials,Average,17.94,Low,Medium,3,0,PASS,True,False,False,False,,77.0,0.173093653026235,67.9324894514768,78.15,54.9,31.68,67.93,0.72,sector_median_imputed,2026-05-20,Banca Mediolanum SpA,Financials,0.2562,-0.3266,0.9454,1.2554,50.0,68.46473029045643,30.29045643153528,95.4356846473029,50.0,61.41,0.0,ok,ok,ok,elevated,PASS,PASS,DATA-INCOMPLETE,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,25.62,-32.66,1.2554,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,77.78,,71.43,,False,False
BPM,BAMI.MI,Banco BPM SpA,Financials,Average,12.64,Low,Medium,3,0,PASS,True,False,False,False,,70.0,0.2148302042889953,70.88607594936708,78.15,35.63,48.17,70.89,0.72,sector_median_imputed,2026-05-20,Banco BPM SpA,Financials,0.3375,-0.3617,1.0851,1.3075,25.0,31.74273858921161,40.24896265560166,99.1701244813278,25.0,53.17,0.0,ok,ok,ok,elevated_high,PASS,PASS,DATA-INCOMPLETE,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,33.75,-36.17,1.3075,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,66.67,,42.86,,False,False
BCPN,BCP.LS,Banco Comercial Portugues S.A.,Financials,Below Average,14.9,Low,Medium,2,1,PASS,True,False,False,True,Truvalue=Below Average,96.0,0.0352830450838273,59.91561181434599,78.15,62.62,9.19,59.92,0.72,sector_median_imputed,2026-05-20,Banco Comercial Portugues SA,Financials,0.3644,-0.3842,0.929,1.2517,50.0,18.257261410788388,47.30290456431535,94.6058091286307,50.0,56.22,0.0,soft_flag,ok,ok,elevated,PASS,PASS,DATA-INCOMPLETE,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,36.44,-38.42,1.2517,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,66.67,,42.86,,False,False
ABJ,ABBN.SW,ABB Ltd.,Resource Transformation,Average,17.8,Low,Good,3,0,PASS,True,False,False,False,,34.0,0.333300151299424,86.07594936708861,60.57,93.88,62.6,86.08,19.57,sector_median_imputed,2026-05-20,ABB Ltd,Industrials,0.2481,-0.283,0.8279,1.2496,50.0,71.36929460580913,19.087136929460584,90.8713692946058,50.0,57.26,0.0,ok,ok,ok,elevated,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,24.81,-28.3,1.2496,2026-05-20,0.025,^STOXX,2.5,2.5,37.5,Medium,0.0,,66.67,,42.86,40.0,False,False
IGQ5,III.L,3i Group plc,Financials,Average,10.7,Low,Good,3,0,PASS,True,False,False,False,,59.0,0.2482000225855627,75.52742616033755,78.15,43.57,48.01,75.53,0.72,sector_median_imputed,2026-05-20,3i Group PLC,Financials,0.3122,-0.533,0.2805,1.2367,50.0,41.078838174273855,79.66804979253112,25.72614107883817,50.0,49.83,0.0,ok,soft_flag,ok,elevated,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,31.22,-53.3,1.2367,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,0.0,,55.56,25.0,57.14,60.0,False,False
CRIN,UCG.MI,UniCredit S.p.A.,Financials,Average,10.6,Low,Medium,3,0,PASS,True,False,False,False,,23.0,0.4149168212186035,90.71729957805908,78.15,65.37,57.42,90.72,0.72,sector_median_imputed,2026-05-20,UniCredit SpA,Financials,0.3581,-0.4639,1.1467,1.5164,0.0,21.576763485477173,69.70954356846474,99.5850622406639,0.0,55.1,0.0,soft_flag,soft_flag,ok,aggressive,PASS,PASS,DATA-INCOMPLETE,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,35.81,-46.39,1.5164,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,77.78,,100.0,,False,False
H3M,HOC.L,Hochschild Mining plc,Extractives & Minerals Processing,Below Average,26.8,Medium,Medium,1,2,FAIL,False,False,False,,,,,,0.0,0.0,0.0,0.0,2149.74,sector_median_imputed,2026-05-20,Hochschild Mining PLC,Materials,0.5601,-0.7125,0.3976,0.8877,100.0,0.0,97.5103734439834,42.32365145228216,100.0,61.95,0.0,hard_exclude,hard_exclude,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,EXCLUDED_METRIC,M01:vol>55%; M02:mdd<-70%,56.01,-71.25,0.8877,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,88.89,,57.14,,False,False
BIRG,BIRG.IR,Bank of Ireland Group Plc,Financials,Average,15.9,Low,Medium,3,0,PASS,True,False,False,False,,14.0,0.4618400197432473,94.51476793248943,78.15,61.2,65.96,94.51,0.72,sector_median_imputed,2026-05-20,Bank of Ireland Group PLC,Financials,,,,,,,,,,,,,,,,PASS,PASS,FAIL,DATA-INCOMPLETE,PASS,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,77.78,,57.14,,False,False
SND,SU.PA,Schneider Electric SE,Resource Transformation,Average,7.1,Negligible,Good,3,0,PASS,True,False,False,False,,21.0,0.4184063760084872,91.56118143459916,72.42,100.0,48.58,91.56,19.57,sector_median_imputed,2026-05-20,Schneider Electric SE,Industrials,0.2903,-0.3598,0.4543,1.4551,0.0,51.03734439834025,39.41908713692946,51.45228215767634,0.0,37.47,0.0,ok,ok,ok,aggressive,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,29.03,-35.98,1.4551,2026-05-20,0.025,^STOXX,2.5,2.5,37.5,Medium,59.85,,77.78,,71.43,60.0,False,False
BP1,PEO.WA,Bank Polska Kasa Opieki S.A.,Financials,Average,19.47,Low,Medium,3,0,PASS,True,False,False,False,,178.0,-0.5992124505699522,21.51898734177216,6.47,84.1,44.86,21.52,0.72,sector_median_imputed,2026-05-20,Bank Polska Kasa Opieki SA,Financials,,,,,,,,,,,,,,,,PASS,PASS,FAIL,DATA-INCOMPLETE,PASS,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,44.44,,14.29,,False,False
B1V1,BCVN.SW,Banque Cantonale Vaudoise,Financials,Above Average,22.3,Medium,Medium,2,1,PASS,True,False,False,False,,42.0,0.3032858202564113,82.70042194092827,78.15,50.96,51.01,82.7,0.72,sector_median_imputed,2026-05-20,Banque Cantonale Vaudoise,Financials,,,,,,,,,,,,,,,,PASS,PASS,FAIL,DATA-INCOMPLETE,PASS,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,77.78,,28.57,,False,False
BCY,BARC.L,Barclays PLC,Financials,Below Average,11.22,Low,Medium,2,1,PASS,True,False,False,True,Truvalue=Below Average,53.0,0.2627896653059383,78.05907172995781,78.15,48.49,47.11,78.06,0.72,sector_median_imputed,2026-05-20,Barclays PLC,Financials,0.3117,-0.4044,0.4828,1.4388,0.0,41.49377593360995,55.18672199170124,54.77178423236515,0.0,41.29,0.0,ok,ok,ok,aggressive,PASS,PASS,DATA-INCOMPLETE,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,31.17,-40.44,1.4388,2026-05-20,0.025,^STOXX,2.5,2.0,32.5,Low,,,77.78,,57.14,,False,False
