rel_path,action,size_local,size_dl,detail
.vs/slnx.sqlite,LOCAL_ONLY,3334144,,Exists only locally; will be left untouched.
.vscode/tasks.json,IDENTICAL,3185,3185,Same size + content hash.
Assignment Guidance amp Datasets-20260508.zip,LOCAL_ONLY,24066763,,Exists only locally; will be left untouched.
CHANGELOG.txt,REPLACE,7456,7273,Sizes differ (7456 vs 7273).
CLAUDE.md,REPLACE,11072,10441,Sizes differ (11072 vs 10441).
ESADE_Project_Plan_Role_Workflow.docx,IDENTICAL,48278,48278,Same size + content hash.
Final Group Assignment_April May 26.pdf,LOCAL_ONLY,333020,,Exists only locally; will be left untouched.
Final_Deliverables/Final_Report.docx,LOCAL_ONLY,239662,,Local session artefact.
Final_Deliverables/Mandate_AI_Use_DataDictionary.docx,LOCAL_ONLY,49679,,Local session artefact.
Final_Deliverables/Pipeline_Section3_Section4.docx,LOCAL_ONLY,49931,,Local session artefact.
Final_Deliverables/_diff_manifest.py,LOCAL_ONLY,6061,,Local session artefact.
Final_Deliverables/_extract_susfin.py,LOCAL_ONLY,2085,,Local session artefact.
Final_Deliverables/build_final_report.py,LOCAL_ONLY,125098,,Local session artefact.
Final_Deliverables/build_group_b.py,LOCAL_ONLY,36660,,Local session artefact.
Final_Deliverables/build_mandate_ai_dictionary.py,LOCAL_ONLY,39225,,Local session artefact.
Final_Deliverables/build_notebook_04b.py,LOCAL_ONLY,35504,,Local session artefact.
Optimization_module/ANTICIPATED_QA.md,ADD,,15169,New file from download.
Optimization_module/METHODOLOGY.md,ADD,,13800,New file from download.
Optimization_module/PRESENTATION_NOTES.md,ADD,,6946,New file from download.
Optimization_module/README.md,ADD,,8046,New file from download.
Optimization_module/VERIFICATION.md,ADD,,4703,New file from download.
Optimization_module/backtester.py,ADD,,14291,New file from download.
Optimization_module/claude_code_prompt_optimization_backtest.md,ADD,,10363,New file from download.
Optimization_module/config.py,ADD,,9043,New file from download.
Optimization_module/data/prices.pkl,ADD,,398434,New file from download.
Optimization_module/data/prices_meta.json,ADD,,510,New file from download.
Optimization_module/data_loader.py,ADD,,16296,New file from download.
Optimization_module/optimizers.py,ADD,,17561,New file from download.
Optimization_module/outputs/backtest_results.csv,ADD,,821,New file from download.
Optimization_module/outputs/equity_curves.png,ADD,,109560,New file from download.
Optimization_module/outputs/optimization_weights.csv,ADD,,737,New file from download.
Optimization_module/outputs/run_log.txt,ADD,,4138,New file from download.
Optimization_module/requirements.txt,ADD,,267,New file from download.
Optimization_module/run_pipeline.py,ADD,,13291,New file from download.
Optimization_module/sample_holdings_20.csv,ADD,,1039,New file from download.
Optimization_module/selector.py,ADD,,8951,New file from download.
RAG_EVIDENCE_WORKFLOW_README.md,REPLACE,8517,8339,Sizes differ (8517 vs 8339).
STOXX600_Outperformers_5Y_10Y_with_tickers.xlsx,IDENTICAL,51980,51980,Same size + content hash.
app.py,REPLACE,34428,37769,Sizes differ (34428 vs 37769).
build_universe.py,REPLACE,8117,7931,Sizes differ (8117 vs 7931).
data/financial/FINANCIAL_AGENT_JSON_SCHEMA.json,REPLACE,3572,3477,Sizes differ (3572 vs 3477).
data/financial/FINANCIAL_ANALYSIS_SUMMARY_TEMPLATE.md,REPLACE,5467,5315,Sizes differ (5467 vs 5315).
data/financial/FINANCIAL_EVIDENCE_WORKFLOW_README.md,REPLACE,10683,10478,Sizes differ (10683 vs 10478).
data/financial/financial_agent_outputs.csv,REPLACE,9090,9069,Sizes differ (9090 vs 9069).
data/financial/financial_audit_log.csv,REPLACE,2587,2581,Sizes differ (2587 vs 2581).
data/financial/financial_data_tracker.csv,REPLACE,7902,7881,Sizes differ (7902 vs 7881).
data/financial/financial_metric_dictionary.csv,REPLACE,11074,11049,Sizes differ (11074 vs 11049).
data/financial/source_notes/FINANCIAL_SOURCE_NOTE_TEMPLATE.md,REPLACE,1277,1260,Sizes differ (1277 vs 1260).
data/market/fundamentals_cache/ACKB_BR__bs.parquet,LOCAL_ONLY,8353,,Local session artefact.
data/market/fundamentals_cache/ACKB_BR__cf.parquet,LOCAL_ONLY,6943,,Local session artefact.
data/market/fundamentals_cache/ACKB_BR__fin.parquet,LOCAL_ONLY,6695,,Local session artefact.
data/market/fundamentals_cache/ARGX_BR__bs.parquet,LOCAL_ONLY,8154,,Local session artefact.
data/market/fundamentals_cache/ARGX_BR__cf.parquet,LOCAL_ONLY,7037,,Local session artefact.
data/market/fundamentals_cache/ARGX_BR__fin.parquet,LOCAL_ONLY,7006,,Local session artefact.
data/market/fundamentals_cache/ASML_AS__bs.parquet,LOCAL_ONLY,8256,,Local session artefact.
data/market/fundamentals_cache/ASML_AS__cf.parquet,LOCAL_ONLY,7095,,Local session artefact.
data/market/fundamentals_cache/ASML_AS__fin.parquet,LOCAL_ONLY,6473,,Local session artefact.
data/market/fundamentals_cache/ASM_AS__bs.parquet,LOCAL_ONLY,7780,,Local session artefact.
data/market/fundamentals_cache/ASM_AS__cf.parquet,LOCAL_ONLY,6506,,Local session artefact.
data/market/fundamentals_cache/ASM_AS__fin.parquet,LOCAL_ONLY,6575,,Local session artefact.
data/market/fundamentals_cache/AZN_L__bs.parquet,LOCAL_ONLY,8606,,Local session artefact.
data/market/fundamentals_cache/AZN_L__cf.parquet,LOCAL_ONLY,6985,,Local session artefact.
data/market/fundamentals_cache/AZN_L__fin.parquet,LOCAL_ONLY,6946,,Local session artefact.
data/market/fundamentals_cache/BAER_SW__bs.parquet,LOCAL_ONLY,6865,,Local session artefact.
data/market/fundamentals_cache/BAER_SW__cf.parquet,LOCAL_ONLY,6488,,Local session artefact.
data/market/fundamentals_cache/BAER_SW__fin.parquet,LOCAL_ONLY,5826,,Local session artefact.
data/market/fundamentals_cache/BBY_L__bs.parquet,LOCAL_ONLY,8201,,Local session artefact.
data/market/fundamentals_cache/BBY_L__cf.parquet,LOCAL_ONLY,6991,,Local session artefact.
data/market/fundamentals_cache/BBY_L__fin.parquet,LOCAL_ONLY,6542,,Local session artefact.
data/market/fundamentals_cache/BESI_AS__bs.parquet,LOCAL_ONLY,7883,,Local session artefact.
data/market/fundamentals_cache/BESI_AS__cf.parquet,LOCAL_ONLY,6386,,Local session artefact.
data/market/fundamentals_cache/BESI_AS__fin.parquet,LOCAL_ONLY,5755,,Local session artefact.
data/market/fundamentals_cache/CS_PA__bs.parquet,LOCAL_ONLY,7213,,Local session artefact.
data/market/fundamentals_cache/CS_PA__cf.parquet,LOCAL_ONLY,6968,,Local session artefact.
data/market/fundamentals_cache/CS_PA__fin.parquet,LOCAL_ONLY,6414,,Local session artefact.
data/market/fundamentals_cache/DPLM_L__bs.parquet,LOCAL_ONLY,7617,,Local session artefact.
data/market/fundamentals_cache/DPLM_L__cf.parquet,LOCAL_ONLY,6672,,Local session artefact.
data/market/fundamentals_cache/DPLM_L__fin.parquet,LOCAL_ONLY,6736,,Local session artefact.
data/market/fundamentals_cache/DRX_L__bs.parquet,LOCAL_ONLY,7953,,Local session artefact.
data/market/fundamentals_cache/DRX_L__cf.parquet,LOCAL_ONLY,6943,,Local session artefact.
data/market/fundamentals_cache/DRX_L__fin.parquet,LOCAL_ONLY,6821,,Local session artefact.
data/market/fundamentals_cache/EOAN_DE__bs.parquet,LOCAL_ONLY,7861,,Local session artefact.
data/market/fundamentals_cache/EOAN_DE__cf.parquet,LOCAL_ONLY,6651,,Local session artefact.
data/market/fundamentals_cache/EOAN_DE__fin.parquet,LOCAL_ONLY,5863,,Local session artefact.
data/market/fundamentals_cache/GAW_L__bs.parquet,LOCAL_ONLY,7284,,Local session artefact.
data/market/fundamentals_cache/GAW_L__cf.parquet,LOCAL_ONLY,5697,,Local session artefact.
data/market/fundamentals_cache/GAW_L__fin.parquet,LOCAL_ONLY,5595,,Local session artefact.
data/market/fundamentals_cache/GTT_PA__bs.parquet,LOCAL_ONLY,7609,,Local session artefact.
data/market/fundamentals_cache/GTT_PA__cf.parquet,LOCAL_ONLY,5943,,Local session artefact.
data/market/fundamentals_cache/GTT_PA__fin.parquet,LOCAL_ONLY,6588,,Local session artefact.
data/market/fundamentals_cache/IFX_DE__bs.parquet,LOCAL_ONLY,8182,,Local session artefact.
data/market/fundamentals_cache/IFX_DE__cf.parquet,LOCAL_ONLY,7028,,Local session artefact.
data/market/fundamentals_cache/IFX_DE__fin.parquet,LOCAL_ONLY,6822,,Local session artefact.
data/market/fundamentals_cache/IHG_L__bs.parquet,LOCAL_ONLY,8166,,Local session artefact.
data/market/fundamentals_cache/IHG_L__cf.parquet,LOCAL_ONLY,6778,,Local session artefact.
data/market/fundamentals_cache/IHG_L__fin.parquet,LOCAL_ONLY,6722,,Local session artefact.
data/market/fundamentals_cache/III_L__bs.parquet,LOCAL_ONLY,5636,,Local session artefact.
data/market/fundamentals_cache/III_L__cf.parquet,LOCAL_ONLY,5257,,Local session artefact.
data/market/fundamentals_cache/III_L__fin.parquet,LOCAL_ONLY,5551,,Local session artefact.
data/market/fundamentals_cache/LR_PA__bs.parquet,LOCAL_ONLY,8207,,Local session artefact.
data/market/fundamentals_cache/LR_PA__cf.parquet,LOCAL_ONLY,6642,,Local session artefact.
data/market/fundamentals_cache/LR_PA__fin.parquet,LOCAL_ONLY,5729,,Local session artefact.
data/market/fundamentals_cache/MYCR_ST__bs.parquet,LOCAL_ONLY,7591,,Local session artefact.
data/market/fundamentals_cache/MYCR_ST__cf.parquet,LOCAL_ONLY,6584,,Local session artefact.
data/market/fundamentals_cache/MYCR_ST__fin.parquet,LOCAL_ONLY,6549,,Local session artefact.
data/market/fundamentals_cache/NHY_OL__bs.parquet,LOCAL_ONLY,8207,,Local session artefact.
data/market/fundamentals_cache/NHY_OL__cf.parquet,LOCAL_ONLY,6925,,Local session artefact.
data/market/fundamentals_cache/NHY_OL__fin.parquet,LOCAL_ONLY,6684,,Local session artefact.
data/market/fundamentals_cache/NN_AS__bs.parquet,LOCAL_ONLY,7444,,Local session artefact.
data/market/fundamentals_cache/NN_AS__cf.parquet,LOCAL_ONLY,6608,,Local session artefact.
data/market/fundamentals_cache/NN_AS__fin.parquet,LOCAL_ONLY,6650,,Local session artefact.
data/market/fundamentals_cache/NOVN_SW__bs.parquet,LOCAL_ONLY,9227,,Local session artefact.
data/market/fundamentals_cache/NOVN_SW__cf.parquet,LOCAL_ONLY,7822,,Local session artefact.
data/market/fundamentals_cache/NOVN_SW__fin.parquet,LOCAL_ONLY,6716,,Local session artefact.
data/market/fundamentals_cache/NWG_L__bs.parquet,LOCAL_ONLY,6823,,Local session artefact.
data/market/fundamentals_cache/NWG_L__cf.parquet,LOCAL_ONLY,7003,,Local session artefact.
data/market/fundamentals_cache/NWG_L__fin.parquet,LOCAL_ONLY,6533,,Local session artefact.
data/market/fundamentals_cache/NXT_L__bs.parquet,LOCAL_ONLY,8089,,Local session artefact.
data/market/fundamentals_cache/NXT_L__cf.parquet,LOCAL_ONLY,6909,,Local session artefact.
data/market/fundamentals_cache/NXT_L__fin.parquet,LOCAL_ONLY,6672,,Local session artefact.
data/market/fundamentals_cache/ORNBV_HE__bs.parquet,LOCAL_ONLY,8031,,Local session artefact.
data/market/fundamentals_cache/ORNBV_HE__cf.parquet,LOCAL_ONLY,6718,,Local session artefact.
data/market/fundamentals_cache/ORNBV_HE__fin.parquet,LOCAL_ONLY,6026,,Local session artefact.
data/market/fundamentals_cache/PKN_WA__bs.parquet,LOCAL_ONLY,8907,,Local session artefact.
data/market/fundamentals_cache/PKN_WA__cf.parquet,LOCAL_ONLY,6786,,Local session artefact.
data/market/fundamentals_cache/PKN_WA__fin.parquet,LOCAL_ONLY,6912,,Local session artefact.
data/market/fundamentals_cache/PKO_WA__bs.parquet,LOCAL_ONLY,6929,,Local session artefact.
data/market/fundamentals_cache/PKO_WA__cf.parquet,LOCAL_ONLY,6497,,Local session artefact.
data/market/fundamentals_cache/PKO_WA__fin.parquet,LOCAL_ONLY,6493,,Local session artefact.
data/market/fundamentals_cache/RACE_MI__bs.parquet,LOCAL_ONLY,8354,,Local session artefact.
data/market/fundamentals_cache/RACE_MI__cf.parquet,LOCAL_ONLY,7004,,Local session artefact.
data/market/fundamentals_cache/RACE_MI__fin.parquet,LOCAL_ONLY,6859,,Local session artefact.
data/market/fundamentals_cache/RILBA_CO__bs.parquet,LOCAL_ONLY,6778,,Local session artefact.
data/market/fundamentals_cache/RILBA_CO__fin.parquet,LOCAL_ONLY,5565,,Local session artefact.
data/market/fundamentals_cache/SBMO_AS__bs.parquet,LOCAL_ONLY,8013,,Local session artefact.
data/market/fundamentals_cache/SBMO_AS__cf.parquet,LOCAL_ONLY,6654,,Local session artefact.
data/market/fundamentals_cache/SBMO_AS__fin.parquet,LOCAL_ONLY,6863,,Local session artefact.
data/market/fundamentals_cache/SQN_SW__bs.parquet,LOCAL_ONLY,6315,,Local session artefact.
data/market/fundamentals_cache/SQN_SW__cf.parquet,LOCAL_ONLY,6053,,Local session artefact.
data/market/fundamentals_cache/SQN_SW__fin.parquet,LOCAL_ONLY,5960,,Local session artefact.
data/market/fundamentals_cache/SSAB-B_ST__bs.parquet,LOCAL_ONLY,8465,,Local session artefact.
data/market/fundamentals_cache/SSAB-B_ST__cf.parquet,LOCAL_ONLY,6769,,Local session artefact.
data/market/fundamentals_cache/SSAB-B_ST__fin.parquet,LOCAL_ONLY,6017,,Local session artefact.
data/market/fundamentals_cache/STM__bs.parquet,LOCAL_ONLY,8774,,Local session artefact.
data/market/fundamentals_cache/STM__cf.parquet,LOCAL_ONLY,6968,,Local session artefact.
data/market/fundamentals_cache/STM__fin.parquet,LOCAL_ONLY,7020,,Local session artefact.
data/market/fundamentals_cache/TEN_MI__bs.parquet,LOCAL_ONLY,9228,,Local session artefact.
data/market/fundamentals_cache/TEN_MI__cf.parquet,LOCAL_ONLY,7048,,Local session artefact.
data/market/fundamentals_cache/TEN_MI__fin.parquet,LOCAL_ONLY,7330,,Local session artefact.
data/market/fundamentals_cache/TRN_MI__bs.parquet,LOCAL_ONLY,7782,,Local session artefact.
data/market/fundamentals_cache/TRN_MI__cf.parquet,LOCAL_ONLY,5956,,Local session artefact.
data/market/fundamentals_cache/TRN_MI__fin.parquet,LOCAL_ONLY,6996,,Local session artefact.
data/market/fundamentals_cache/UCB_BR__bs.parquet,LOCAL_ONLY,8160,,Local session artefact.
data/market/fundamentals_cache/UCB_BR__cf.parquet,LOCAL_ONLY,6884,,Local session artefact.
data/market/fundamentals_cache/UCB_BR__fin.parquet,LOCAL_ONLY,6883,,Local session artefact.
data/market/fundamentals_cache/UCG_MI__bs.parquet,LOCAL_ONLY,6992,,Local session artefact.
data/market/fundamentals_cache/UCG_MI__cf.parquet,LOCAL_ONLY,6339,,Local session artefact.
data/market/fundamentals_cache/UCG_MI__fin.parquet,LOCAL_ONLY,6825,,Local session artefact.
data/market/fundamentals_cache/UNI_MI__bs.parquet,LOCAL_ONLY,7461,,Local session artefact.
data/market/fundamentals_cache/UNI_MI__cf.parquet,LOCAL_ONLY,6300,,Local session artefact.
data/market/fundamentals_cache/UNI_MI__fin.parquet,LOCAL_ONLY,6416,,Local session artefact.
data/market/fundamentals_cache/VACN_SW__bs.parquet,LOCAL_ONLY,7537,,Local session artefact.
data/market/fundamentals_cache/VACN_SW__cf.parquet,LOCAL_ONLY,6727,,Local session artefact.
data/market/fundamentals_cache/VACN_SW__fin.parquet,LOCAL_ONLY,6849,,Local session artefact.
data/market/fundamentals_cache/WRT1V_HE__bs.parquet,LOCAL_ONLY,8000,,Local session artefact.
data/market/fundamentals_cache/WRT1V_HE__cf.parquet,LOCAL_ONLY,6608,,Local session artefact.
data/market/fundamentals_cache/WRT1V_HE__fin.parquet,LOCAL_ONLY,6252,,Local session artefact.
data/market/prices_2026-05-12.csv,LOCAL_ONLY,8524097,,Exists only locally; will be left untouched.
data/market/prices_2026-05-13.csv,LOCAL_ONLY,8526116,,Exists only locally; will be left untouched.
data/market/prices_2026-05-20.csv,ADD,,14252911,New file from download.
data/provided/ESG Data_Factset Full ESG.xlsx,IDENTICAL,92936,92936,Same size + content hash.
data/provided/Portfolio_Screening_Output.xlsx,IDENTICAL,72451,72451,Same size + content hash.
data/provided/equityBicsV2.csv,IDENTICAL,53762678,53762678,Same size + content hash.
data/provided/esgEnvironmentalSocialConsolidatedV4.csv,REPLACE,25496257,25468070,Sizes differ (25496257 vs 25468070).
data/provided/esgGovernanceConsolidatedV4.csv,REPLACE,16196004,16167817,Sizes differ (16196004 vs 16167817).
data/provided/legalEntityEuTaxonomy.csv,REPLACE,8144997,8096441,Sizes differ (8144997 vs 8096441).
data/provided/stage2_top40_capped_hybrid.csv,REPLACE,7659,7618,Sizes differ (7659 vs 7618).
data/provided/universe_170.csv,LOCAL_ONLY,12718,,Exists only locally; will be left untouched.
data/provided/universe_289_filled.csv,IDENTICAL,13577,13577,Same size + content hash.
data/rag/HOW_TO_USE.txt,REPLACE,8637,8441,Sizes differ (8637 vs 8441).
data/rag/Latest_CP_Assessments.csv,REPLACE,603305,602676,Sizes differ (603305 vs 602676).
data/rag/RAG_Screening_Sheet_Workbook_v1.xlsx,REPLACE,192464,386743,Sizes differ (192464 vs 386743).
data/rag/SBTi.xlsx,IDENTICAL,2150589,2150589,Same size + content hash.
data/rag/reports/19V_VAT_Group_AG/19V_8test_prompt.txt,REPLACE,12591,12334,Sizes differ (12591 vs 12334).
data/rag/reports/19V_VAT_Group_AG/financial_data/financial_data_gap_log.md,REPLACE,6304,6196,Sizes differ (6304 vs 6196).
data/rag/reports/19V_VAT_Group_AG/rag_outputs/evidence_gap_log.md,REPLACE,9788,9682,Sizes differ (9788 vs 9682).
data/rag/reports/1AE_Argenx_SE/1AE_8test_prompt.txt,REPLACE,12565,12308,Sizes differ (12565 vs 12308).
data/rag/reports/1AE_Argenx_SE/financial_data/financial_data_gap_log.md,REPLACE,6074,5967,Sizes differ (6074 vs 5967).
data/rag/reports/1AE_Argenx_SE/rag_outputs/evidence_gap_log.md,REPLACE,6006,5921,Sizes differ (6006 vs 5921).
data/rag/reports/1SQ_Swissquote_Group_Holding_SA/1SQ_8test_prompt.txt,REPLACE,12673,12416,Sizes differ (12673 vs 12416).
data/rag/reports/1SQ_Swissquote_Group_Holding_SA/financial_data/financial_data_gap_log.md,REPLACE,6538,6429,Sizes differ (6538 vs 6429).
data/rag/reports/1SQ_Swissquote_Group_Holding_SA/rag_outputs/evidence_gap_log.md,REPLACE,9492,9395,Sizes differ (9492 vs 9395).
data/rag/reports/2FE_Ferrari_NV/2FE_8test_prompt.txt,REPLACE,12570,12313,Sizes differ (12570 vs 12313).
data/rag/reports/2FE_Ferrari_NV/financial_data/financial_data_gap_log.md,REPLACE,6305,6197,Sizes differ (6305 vs 6197).
data/rag/reports/2FE_Ferrari_NV/rag_outputs/evidence_gap_log.md,REPLACE,7136,7037,Sizes differ (7136 vs 7037).
data/rag/reports/2NN_NN_Group_NV/2NN_8test_prompt.txt,REPLACE,12562,12305,Sizes differ (12562 vs 12305).
data/rag/reports/2NN_NN_Group_NV/financial_data/financial_data_gap_log.md,REPLACE,5174,5075,Sizes differ (5174 vs 5075).
data/rag/reports/2NN_NN_Group_NV/rag_outputs/evidence_gap_log.md,REPLACE,6539,6452,Sizes differ (6539 vs 6452).
data/rag/reports/9TG_Gaztransport_Et_Technigaz_SA/9TG_8test_prompt.txt,REPLACE,12679,12422,Sizes differ (12679 vs 12422).
data/rag/reports/9TG_Gaztransport_Et_Technigaz_SA/financial_data/financial_data_gap_log.md,REPLACE,6448,6340,Sizes differ (6448 vs 6340).
data/rag/reports/9TG_Gaztransport_Et_Technigaz_SA/rag_outputs/evidence_gap_log.md,REPLACE,7277,7184,Sizes differ (7277 vs 7184).
data/rag/reports/A5G_AIB_Group_PLC/A5G_8test_prompt.txt,REPLACE,9973,9770,Sizes differ (9973 vs 9770).
data/rag/reports/A5G_AIB_Group_PLC/financial_data/financial_data_gap_log.md,REPLACE,1117,1088,Sizes differ (1117 vs 1088).
data/rag/reports/A5G_AIB_Group_PLC/rag_outputs/evidence_gap_log.md,REPLACE,775,751,Sizes differ (775 vs 751).
data/rag/reports/ABBN_ABB_Ltd/ABBN_8test_prompt.txt,REPLACE,9837,9634,Sizes differ (9837 vs 9634).
data/rag/reports/ABBN_ABB_Ltd/financial_data/financial_data_gap_log.md,REPLACE,1109,1080,Sizes differ (1109 vs 1080).
data/rag/reports/ABBN_ABB_Ltd/rag_outputs/evidence_gap_log.md,REPLACE,695,671,Sizes differ (695 vs 671).
data/rag/reports/ADDT_B_Addtech_AB_Class_B/ADDT_B_8test_prompt.txt,REPLACE,9954,9751,Sizes differ (9954 vs 9751).
data/rag/reports/ADDT_B_Addtech_AB_Class_B/financial_data/financial_data_gap_log.md,REPLACE,1137,1108,Sizes differ (1137 vs 1108).
data/rag/reports/ADDT_B_Addtech_AB_Class_B/rag_outputs/evidence_gap_log.md,REPLACE,721,697,Sizes differ (721 vs 697).
data/rag/reports/AGN_Aegon_Ltd/AGN_8test_prompt.txt,REPLACE,9845,9642,Sizes differ (9845 vs 9642).
data/rag/reports/AGN_Aegon_Ltd/financial_data/financial_data_gap_log.md,REPLACE,1109,1080,Sizes differ (1109 vs 1080).
data/rag/reports/AGN_Aegon_Ltd/rag_outputs/evidence_gap_log.md,REPLACE,696,672,Sizes differ (696 vs 672).
data/rag/reports/AIXA_AIXTRON_SE/AIXA_8test_prompt.txt,REPLACE,9955,9752,Sizes differ (9955 vs 9752).
data/rag/reports/AIXA_AIXTRON_SE/financial_data/financial_data_gap_log.md,REPLACE,1114,1085,Sizes differ (1114 vs 1085).
data/rag/reports/AIXA_AIXTRON_SE/rag_outputs/evidence_gap_log.md,REPLACE,771,747,Sizes differ (771 vs 747).
data/rag/reports/ALFA_Alfa_Laval_AB/ALFA_8test_prompt.txt,REPLACE,9891,9688,Sizes differ (9891 vs 9688).
data/rag/reports/ALFA_Alfa_Laval_AB/financial_data/financial_data_gap_log.md,REPLACE,1121,1092,Sizes differ (1121 vs 1092).
data/rag/reports/ALFA_Alfa_Laval_AB/rag_outputs/evidence_gap_log.md,REPLACE,707,683,Sizes differ (707 vs 683).
data/rag/reports/ARCAD_Arcadis_NV/ARCAD_8test_prompt.txt,REPLACE,9873,9670,Sizes differ (9873 vs 9670).
data/rag/reports/ARCAD_Arcadis_NV/financial_data/financial_data_gap_log.md,REPLACE,1118,1089,Sizes differ (1118 vs 1089).
data/rag/reports/ARCAD_Arcadis_NV/rag_outputs/evidence_gap_log.md,REPLACE,703,679,Sizes differ (703 vs 679).
data/rag/reports/ASME_ASML_Holding_NV/ASME_8test_prompt.txt,REPLACE,12609,12352,Sizes differ (12609 vs 12352).
data/rag/reports/ASME_ASML_Holding_NV/financial_data/financial_data_gap_log.md,REPLACE,6418,6310,Sizes differ (6418 vs 6310).
data/rag/reports/ASME_ASML_Holding_NV/rag_outputs/evidence_gap_log.md,REPLACE,9977,9864,Sizes differ (9977 vs 9864).
data/rag/reports/AVS_ASM_International_NV/AVS_8test_prompt.txt,REPLACE,12633,12376,Sizes differ (12633 vs 12376).
data/rag/reports/AVS_ASM_International_NV/financial_data/financial_data_gap_log.md,REPLACE,6388,6280,Sizes differ (6388 vs 6280).
data/rag/reports/AVS_ASM_International_NV/rag_outputs/evidence_gap_log.md,REPLACE,10311,10191,Sizes differ (10311 vs 10191).
data/rag/reports/AZN_AstraZeneca_PLC/AZN_8test_prompt.txt,REPLACE,9899,9696,Sizes differ (9899 vs 9696).
data/rag/reports/AZN_AstraZeneca_PLC/financial_data/financial_data_gap_log.md,REPLACE,1121,1092,Sizes differ (1121 vs 1092).
data/rag/reports/AZN_AstraZeneca_PLC/rag_outputs/evidence_gap_log.md,REPLACE,709,685,Sizes differ (709 vs 685).
data/rag/reports/BFT_Benefit_Systems_SA/BFT_8test_prompt.txt,REPLACE,9938,9735,Sizes differ (9938 vs 9735).
data/rag/reports/BFT_Benefit_Systems_SA/financial_data/financial_data_gap_log.md,REPLACE,1139,1110,Sizes differ (1139 vs 1110).
data/rag/reports/BFT_Benefit_Systems_SA/rag_outputs/evidence_gap_log.md,REPLACE,726,702,Sizes differ (726 vs 702).
data/rag/reports/BSI_BE_Semiconductor_Industries_NV/BSI_8test_prompt.txt,REPLACE,12692,12435,Sizes differ (12692 vs 12435).
data/rag/reports/BSI_BE_Semiconductor_Industries_NV/financial_data/financial_data_gap_log.md,REPLACE,6475,6367,Sizes differ (6475 vs 6367).
data/rag/reports/BSI_BE_Semiconductor_Industries_NV/rag_outputs/evidence_gap_log.md,REPLACE,8939,8843,Sizes differ (8939 vs 8843).
data/rag/reports/CJ2_Ringkjoebing_Landbobank_AS/CJ2_8test_prompt.txt,REPLACE,12674,12417,Sizes differ (12674 vs 12417).
