company_name,ticker,isin,sector,country,company_folder,price_data_available,price_source,price_start_date,price_end_date,price_download_date,benchmark_data_available,fundamental_data_available,fundamental_source,fundamental_period,fundamental_download_date,annual_report_available,investor_presentation_available,financial_data_confidence,missing_data_items,notes
Diploma PLC,DP9,GB0001826634,Industrials,GB,data/rag/reports/DP9_Diploma_PLC,YES,yfinance (DPLM.L),2020-01-01,2025-01-01,2026-05-12,YES,PARTIAL,yfinance .info,FY2024,2026-05-12,YES,UNKNOWN,MEDIUM,"EBIT margin, EBITDA, EV/EBITDA, interest coverage, FCF margin missing","Portfolio weight 4.86%; ESG composite 63.29"
STMicroelectronics NV,SGM,IT0001029492,Technology,IT,data/rag/reports/SGM_STMicroelectronics_NV,YES,yfinance (STM),2020-01-01,2025-01-01,2026-05-12,YES,PARTIAL,yfinance .info,FY2024,2026-05-12,YES,UNKNOWN,MEDIUM,"EBIT margin, EBITDA, EV/EBITDA, interest coverage, FCF margin missing","Portfolio weight 4.74%; ESG composite 61.7; NYSE-listed European company"
Mycronic AB,MLT,SE0000375115,Technology,SE,data/rag/reports/MLT_Mycronic_AB,YES,yfinance (MYCR.ST),2020-01-01,2025-01-01,2026-05-12,YES,PARTIAL,yfinance .info,FY2024,2026-05-12,YES,UNKNOWN,MEDIUM,"EBIT margin, EBITDA, EV/EBITDA, interest coverage, FCF margin missing","Portfolio weight 4.68%; ESG composite 60.88"
VAT Group AG,19V,CH0311864901,Industrials,CH,data/rag/reports/19V_VAT_Group_AG,YES,yfinance (VACN.SW),2020-01-01,2025-01-01,2026-05-12,YES,PARTIAL,yfinance .info,FY2024,2026-05-12,YES,UNKNOWN,MEDIUM,"EBIT margin, EBITDA, EV/EBITDA, interest coverage, FCF margin missing","Portfolio weight 4.65%; ESG composite 60.44"
BE Semiconductor Industries NV,BSI,NL0012866412,Technology,NL,data/rag/reports/BSI_BE_Semiconductor_Industries_NV,YES,yfinance (BESI.AS),2020-01-01,2025-01-01,2026-05-12,YES,PARTIAL,yfinance .info,FY2024,2026-05-12,YES,UNKNOWN,MEDIUM,"EBIT margin, EBITDA, EV/EBITDA, interest coverage, FCF margin missing","Portfolio weight 4.64%; ESG composite 60.43"
Ferrari NV,2FE,NL0011585146,Consumer Discretionary,IT,data/rag/reports/2FE_Ferrari_NV,YES,yfinance (RACE.MI),2020-01-01,2025-01-01,2026-05-12,YES,PARTIAL,yfinance .info,FY2024,2026-05-12,YES,UNKNOWN,MEDIUM,"EBIT margin, EBITDA, EV/EBITDA, interest coverage, FCF margin missing. Annual report image-heavy — text extraction limited.","Portfolio weight 4.64%; ESG composite 60.39; luxury automotive"
Norsk Hydro ASA,NOH1,NO0005052605,Materials,NO,data/rag/reports/NOH1_Norsk_Hydro_ASA,YES,yfinance (NHY.OL),2020-01-01,2025-01-01,2026-05-12,YES,PARTIAL,yfinance .info,FY2024,2026-05-12,YES,UNKNOWN,MEDIUM,"EBIT margin, EBITDA, EV/EBITDA, interest coverage, FCF margin missing","Portfolio weight 4.64%; ESG composite 60.31; aluminium — cyclical capex-heavy sector"
3i Group PLC,IGQ5,GB00B1YW4409,Financials,GB,data/rag/reports/IGQ5_3i_Group_PLC,YES,yfinance (III.L),2020-01-01,2025-01-01,2026-05-12,YES,PARTIAL,yfinance .info,FY2024,2026-05-12,YES,UNKNOWN,LOW,"EBIT/EBITDA not standard for PE/investment companies; use NAV, portfolio return, carried interest instead.","Private equity / investment company — standard industrial metrics require adjustment."
Infineon Technologies AG,IFX,CA4524352099,Technology,DE,data/rag/reports/IFX_Infineon_Technologies_AG,YES,yfinance (IFX.DE),2020-01-01,2025-01-01,2026-05-12,YES,PARTIAL,yfinance .info,FY2024,2026-05-12,YES,UNKNOWN,MEDIUM,"EBIT margin, EBITDA, EV/EBITDA, interest coverage, FCF margin missing. Note: ISIN may be stale — verify.","Portfolio weight 4.62%; ESG composite 60.09. NOTE: ISIN CA4524352099 looks like a Canadian ISIN — flag for human review."
NN Group NV,2NN,NL0010773842,Financials,NL,data/rag/reports/2NN_NN_Group_NV,YES,yfinance (NN.AS),2020-01-01,2025-01-01,2026-05-12,YES,PARTIAL,yfinance .info,FY2024,2026-05-12,YES,UNKNOWN,LOW,"EBIT/EBITDA not standard for insurers; use combined ratio, investment yield, SCR coverage instead.","Insurance — standard industrial metrics require adjustment."
